country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth
Mauritius,17145.783120153603,1258653.0,0.0739,0.958068084716797,0.08300000190734862,0.1841016,0.39104659999999997,0.992,0.4653395951211429,0.20302770408423365,0.10934859764325706,0.7633302024394285
Mexico,16290.8128214269,122332399.0,0.048600000000000004,0.957526702880859,0.0490000009536743,0.028012490000000004,0.09345214,0.96,0.44147349287612003,0.5340229455306378,0.25476890628986215,0.7592632535619399
"Micronesia, Fed. Sts.",3285.75294189917,103549.0,0.0159,,,,,1.0,0.0949314941668317,0.4911367616883895,0.13340977833450512,0.9525342529165841
Middle East & North Africa (all income levels),17302.1095238667,402607879.0,,0.8651049041748051,0.11220469779082999,,,0.8990398698579429,0.344351730224517,,,0.777344069816713
Middle East & North Africa (developing only),11467.7332961109,345448146.0,,0.851379013061523,0.12727879558715302,,,0.8901435878923191,0.45620069980347094,,,0.7169714440444241
Middle income,9375.216385184749,4970033143.0,,0.766807174682617,0.0562597550840693,0.1074579,0.2324205,0.726848282503927,0.354637487700659,,,0.686105397401634
Moldova,4521.084844788111,3558566.0,0.0849,0.946174697875977,0.050999999046325704,0.007158123000000001,0.05443321,0.992,0.445788611024026,0.4658781844872598,0.33756533499209274,0.773105694487987
Monaco,,37831.0,,,,,,,0.06999999997389411,,,
Mongolia,9132.30570379131,2839073.0,0.071,0.908974227905273,0.0490000009536743,0.1190915,0.3040792,0.988,0.37013190066106505,0.32451319459176803,0.18658999698714793,0.8089340496694675
Montenegro,14151.5411049103,621383.0,0.0825,0.8049859619140629,0.197999992370605,0.02271427,0.04095249,1.0,0.42668777701352,,,0.78665611149324
Morocco,6967.259245878559,33008150.0,0.0652,0.8925434112548829,0.0919999980926514,0.051415930000000006,0.1725484,0.736,0.58357664131688,,,0.5762116793415599
Mozambique,1069.62467709464,25833752.0,0.052300000000000006,0.31594970703125,0.08300000190734862,,,0.5429999999999999,0.0640594162295104,0.22864661567112732,0.0790302963912396,0.7394702918852447
Myanmar,,53259018.0,,0.747923278808594,0.0340000009536743,,,0.706,0.681959753796518,,,0.5120201231017409
Namibia,9275.77298948326,2303315.0,0.0337,0.844627227783203,0.16899999618530298,,,0.8140000000000001,0.0708867871555925,,,0.8715566064222038
Nepal,2172.79039161762,27797457.0,0.0827,0.603601417541504,0.027000000476837198,0.05736111,0.1267821,0.36,0.461547702516905,0.1957230900073423,0.3589367106901816,0.4492261487415475
Netherlands,45021.1574077338,16804432.0,0.084,0.9821536254882808,0.06699999809265139,0.5146725,0.6205978000000001,1.0,0.053943633376863094,,,0.9730281833115684
New Caledonia,,262000.0,,,,,,,,,,
New Zealand,33019.6033227233,4442100.0,,,0.061999998092651394,0.5283379,0.6550041,0.966,0.106708342227129,,,0.9296458288864355
Nicaragua,4493.766693912729,6080478.0,0.0464,0.48409271240234397,0.0719999980926514,0.022463570000000002,0.09348507000000002,0.88,0.40323082487602596,0.30955790148805923,0.18289249576700325,0.738384587561987
Niger,886.809611289333,17831270.0,0.08960000000000001,0.6932961273193361,0.050999999046325704,0.002041873,0.0181079,0.293,0.5307619941469729,0.05921709568758075,0.06195777077582977,0.3811190029265136
Nigeria,5422.6933427295,173615345.0,0.053899999999999997,0.7933840942382809,0.075,0.08466024000000001,0.33685740000000003,0.381,0.693498428534313,0.004318494866955536,0.0078094642485003855,0.3437507857328435
North America,50396.1264452195,351348142.0,,0.930418701171875,0.0736730104148192,,,,0.12030201393471501,,,
Northern Mariana Islands,,53855.0,,,,,,0.996,,,,
Norway,62411.3557791039,5080166.0,0.09,0.984884490966797,0.035,,,,0.139464034313376,,,
OECD members,36837.3138285252,1261860262.0,,0.940915374755859,0.0796388008758535,,,,0.13983837125727802,,,
Oman,44532.4548711515,3632444.0,,0.9356304931640629,0.0790000009536743,0.145017,0.2770396,0.986,0.12258380249131598,,,0.931708098754342
Other small states,8824.85953293705,20178690.0,,0.6794638061523439,0.137449550032413,,,0.648094632252913,0.229358080483962,,,0.7093682758844755
Pacific island small states,4882.42100702613,2280082.0,,0.797245635986328,,,,0.941932887033888,0.123700865438464,,,0.909116010797712
Pakistan,4454.07482878434,182142594.0,0.0959,0.6219412994384771,0.050999999046325704,0.01097432,0.01669716,0.521,0.548740285208274,0.06627475544327993,0.1375627297173065,0.486129857395863
Palau,14611.7353039229,20918.0,,,,,,1.0,0.10609577924670001,0.14801150969645407,0.10637442990521595,0.9469521103766501
Panama,18793.3933318045,3864170.0,0.032,0.9160964202880859,0.040999999046325696,0.1099336,0.1344137,0.935,0.249109631598326,0.13708015804999846,0.19584232441457686,0.8429451842008371
Papua New Guinea,2558.12599644713,7321262.0,,,0.020999999046325702,,,0.53,0.10967185952775199,0.053380642635932445,0.02093413029193003,0.710164070236124
Paraguay,7833.074001567579,6802295.0,0.0406,0.8011572265625,0.05199999809265139,0.02127697,0.14778729999999998,0.958,0.566324664936956,0.22254092286194477,0.18271037767433418,0.695837667531522
Peru,11396.493020613101,30375603.0,0.042199999999999994,0.738851318359375,0.039000000953674306,0.01947264,0.1296312,0.867,0.34922042902940603,0.17809290377262527,0.1438275088967906,0.758889785485297
Philippines,6326.2164238939795,98393574.0,0.058899999999999994,0.757798385620117,0.07099999904632572,0.0353108,0.2218852,0.728,0.5667290664336021,0.1881751680446434,0.22829866771306767,0.580635466783199
Poland,22835.2204608088,38514479.0,0.0789,0.9853228759765629,0.103999996185303,0.1469539,0.2018166,0.9990000000000001,0.228135762169209,,,0.8854321189153955
